extraction_time_utc,dataset_name,source_file,source_url,status,row_count,raw_file,error_message
2026-08-31T19:55:42.213097+00:00,casualties,C:\Users\USER\Downloads\dft-road-casualty-statistics-casualty-last-5-years.csv,https://www.gov.uk/government/statistical-data-sets/road-safety-open-data,success,652821,C:\Users\USER\traffic-accident-severity-analytics\data\raw\casualties\dft-road-casualty-statistics-casualty-last-5-years.csv,
2026-08-31T19:58:43.860322+00:00,collisions,C:\Users\USER\Downloads\dft-road-casualty-statistics-collision-last-5-years.csv,https://www.gov.uk/government/statistical-data-sets/road-safety-open-data,failed,0,,Missing required columns in dft-road-casualty-statistics-collision-last-5-years.csv: accident_severity
2026-08-31T20:00:47.993580+00:00,collisions,C:\Users\USER\Downloads\dft-road-casualty-statistics-collision-last-5-years.csv,https://www.gov.uk/government/statistical-data-sets/road-safety-open-data,success,513801,C:\Users\USER\traffic-accident-severity-analytics\data\raw\collisions\dft-road-casualty-statistics-collision-last-5-years.csv,
2026-08-31T20:01:22.912251+00:00,vehicles,C:\Users\USER\Downloads\dft-road-casualty-statistics-vehicle-last-5-years.csv,https://www.gov.uk/government/statistical-data-sets/road-safety-open-data,success,937265,C:\Users\USER\traffic-accident-severity-analytics\data\raw\vehicles\dft-road-casualty-statistics-vehicle-last-5-years.csv,
